Year,Value,Area
2004,109.4,Lombardia
2005,110.07,Lombardia
2006,108.98,Lombardia
2007,108.63,Lombardia
2008,108.33,Lombardia
2009,108.29,Lombardia
2010,108.64,Lombardia
2011,107.41,Lombardia
2012,105.08,Lombardia
2013,105.94,Lombardia
2014,105.72,Lombardia
2015,107.03,Lombardia
2016,107.21,Lombardia
2017,107.51,Lombardia
2004,99.3,Italia
2005,100.46,Italia
2006,100.56,Italia
2007,100.52,Italia
2008,99.51,Italia
2009,100.91,Italia
2010,100,Italia
2011,98.40,Italia
2012,96.29,Italia
2013,96.66,Italia
2014,96.91,Italia
2015,97.92,Italia
2016,98.26,Italia
2017,99.58,Italia
