Year,Group,Tipo,Value
2014,Vacanza,Aereo,3.9
2014,Vacanza,Treno,10.9
2014,Vacanza,Auto,74.6
2014,Vacanza,Nave,2.1
2014,Vacanza,Altro,8.5
2015,Vacanza,Aereo,5.9
2015,Vacanza,Treno,12.7
2015,Vacanza,Auto,71.9
2015,Vacanza,Nave,1.2
2015,Vacanza,Altro,8.2
2016,Vacanza,Aereo,5.1
2016,Vacanza,Treno,10.7
2016,Vacanza,Auto,75.6
2016,Vacanza,Nave,2.3
2016,Vacanza,Altro,6.3
2017,Vacanza,Aereo,7.9
2017,Vacanza,Treno,10.5
2017,Vacanza,Auto,71.8
2017,Vacanza,Nave,1.9
2017,Vacanza,Altro,8.0
2018,Vacanza,Aereo,6.3
2018,Vacanza,Treno,10.5
2018,Vacanza,Auto,73.3
2018,Vacanza,Nave,2.8
2018,Vacanza,Altro,7.1
2014,Lavoro,Aereo,2.5
2014,Lavoro,Treno,8.6
2014,Lavoro,Auto,42.9
2014,Lavoro,Nave,1.5
2014,Lavoro,Altro,14.5
2015,Lavoro,Aereo,13.2
2015,Lavoro,Treno,34.1
2015,Lavoro,Auto,32.8
2015,Lavoro,Nave,0.5
2015,Lavoro,Altro,19.3
2016,Lavoro,Aereo,8.9
2016,Lavoro,Treno,25.2
2016,Lavoro,Auto,44.4
2016,Lavoro,Nave,1.3
2016,Lavoro,Altro,20.0
2017,Lavoro,Aereo,15.3
2017,Lavoro,Treno,26.6
2017,Lavoro,Auto,44.0
2017,Lavoro,Nave,1.1
2017,Lavoro,Altro,12.9
2018,Lavoro,Aereo,17.4
2018,Lavoro,Treno,27.4
2018,Lavoro,Auto,37.3
2018,Lavoro,Nave,1.6
2018,Lavoro,Altro,16.3
2014,Totale,Aereo,5.0
2014,Totale,Treno,13.2
2014,Totale,Auto,70.6
2014,Totale,Nave,2.0
2014,Totale,Altro,9.2
2015,Totale,Aereo,6.7
2015,Totale,Treno,15.2
2015,Totale,Auto,67.5
2015,Totale,Nave,1.1
2015,Totale,Altro,9.5
2016,Totale,Aereo,5.4
2016,Totale,Treno,12.0
2016,Totale,Auto,72.7
2016,Totale,Nave,2.3
2016,Totale,Altro,7.6
2017,Totale,Aereo,8.5
2017,Totale,Treno,11.8
2017,Totale,Auto,69.6
2017,Totale,Nave,1.8
2017,Totale,Altro,8.3
2018,Totale,Aereo,7.4
2018,Totale,Treno,12.3
2018,Totale,Auto,69.6
2018,Totale,Nave,2.7
2018,Totale,Altro,8.0
